"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"690","PLTP.1",1.7414317990592e-33,0.86862009200285,0.506,0.099,4.48784388935546e-29,"hNC","PLTP"
"691","DDR1.2",1.03826795275552e-49,0.865322922432955,0.468,0.063,2.67572034104626e-45,"hNC","DDR1"
"692","IRX3",7.50598194498114e-67,0.850195947459431,0.468,0.048,1.93436660704109e-62,"hNC","IRX3"
"693","LAMA5",1.68093396731717e-101,0.848109789945185,0.456,0.031,4.33193492717308e-97,"hNC","LAMA5"
"694","EFNB2.5",3.08475700937826e-26,0.843057152185142,0.608,0.163,7.9497272888687e-22,"hNC","EFNB2"
"695","TNFRSF19",1.66374981176355e-26,0.840341930366751,0.481,0.111,4.28764963989585e-22,"hNC","TNFRSF19"
"696","ITM2A.4",0.00479332055013353,0.835818020865732,0.57,0.381,1,"hNC","ITM2A"
"697","WNT4.1",3.25465020542166e-118,0.822548321517377,0.405,0.021,8.38755904439217e-114,"hNC","WNT4"
"698","LINC00514.1",0,0.8208778467093,0.354,0.005,0,"hNC","LINC00514"
"699","PLD3.3",1.87241795964732e-15,0.819706919099844,0.924,0.643,4.8254083238071e-11,"hNC","PLD3"
"700","C5orf38",8.66511330455689e-46,0.81600851172501,0.468,0.067,2.23308634971735e-41,"hNC","C5orf38"
"701","STMN2",0,3.77518297789273,0.424,0.02,0,"hNeuron","STMN2"
"702","CKB.4",0,3.52429618104537,0.938,0.122,0,"hNeuron","CKB"
"703","HES6.3",0,3.20559719637556,0.625,0.123,0,"hNeuron","HES6"
"704","TUBA1A.3",0,3.06787411194903,0.997,0.908,0,"hNeuron","TUBA1A"
"705","TUBB2B.2",0,2.98130885701853,0.98,0.579,0,"hNeuron","TUBB2B"
"706","TAGLN3.4",0,2.88635304067483,0.588,0.047,0,"hNeuron","TAGLN3"
"707","CRABP1.3",6.24772672632988e-195,2.68219872579479,0.501,0.247,1.61010165464247e-190,"hNeuron","CRABP1"
"708","PCSK1N",0,2.31648520950146,0.438,0.018,0,"hNeuron","PCSK1N"
"709","NEFM.4",0,2.28201987688543,0.329,0.076,0,"hNeuron","NEFM"
"710","C1orf61",0,2.2769068158182,0.24,0.013,0,"hNeuron","C1orf61"
"711","MAP1B.3",0,2.08435526205925,0.762,0.481,0,"hNeuron","MAP1B"
"712","NEFL",2.26944451896617e-295,2.06229103314693,0.252,0.059,5.84858546982771e-291,"hNeuron","NEFL"
"713","RTN1",0,2.04020801254174,0.313,0.012,0,"hNeuron","RTN1"
"714","SNCG.3",3.08763595477266e-280,1.99372688316052,0.413,0.163,7.95714661904462e-276,"hNeuron","SNCG"
"715","TTYH1.2",0,1.94771237582755,0.553,0.172,0,"hNeuron","TTYH1"
"716","METRN.4",0,1.91219062579271,0.747,0.356,0,"hNeuron","METRN"
"717","HES5",0,1.90683980308717,0.278,0.005,0,"hNeuron","HES5"
"718","CRMP1.3",0,1.89820980233009,0.575,0.033,0,"hNeuron","CRMP1"
"719","TUBB2A.3",0,1.86270271829149,0.628,0.308,0,"hNeuron","TUBB2A"
"720","MLLT11.3",9.66375851876751e-247,1.77056643606082,0.637,0.436,2.49044720787157e-242,"hNeuron","MLLT11"
"721","MAP2.4",0,1.70289720616839,0.472,0.068,0,"hNeuron","MAP2"
"722","ELAVL4",0,1.69846630486836,0.423,0.006,0,"hNeuron","ELAVL4"
"723","HES4.2",0,1.69659482236604,0.582,0.178,0,"hNeuron","HES4"
"724","GAP43.1",0,1.66883401991879,0.416,0.048,0,"hNeuron","GAP43"
"725","HOXB9.4",0,1.66377001140305,0.676,0.129,0,"hNeuron","HOXB9"
"726","CD24.2",0,1.64898547702934,0.775,0.452,0,"hNeuron","CD24"
"727","SOX2",0,1.64421731570919,0.456,0.004,0,"hNeuron","SOX2"
"728","NSG1.3",0,1.62496518189901,0.414,0.073,0,"hNeuron","NSG1"
"729","DCX",0,1.61991846511468,0.395,0.031,0,"hNeuron","DCX"
"730","RBP1.2",0,1.61039986070786,0.976,0.826,0,"hNeuron","RBP1"
"731","DLL3.4",6.66141421303297e-252,1.58811793659435,0.336,0.119,1.71671305684073e-247,"hNeuron","DLL3"
"732","LAMP5",0,1.56701316475793,0.236,0.003,0,"hNeuron","LAMP5"
"733","NOVA1.3",2.70813074713532e-306,1.54294287538829,0.646,0.366,6.97912374844242e-302,"hNeuron","NOVA1"
"734","PTPRZ1",0,1.50997058796531,0.441,0.015,0,"hNeuron","PTPRZ1"
"735","S100B.3",1.22615323330945e-125,1.42803857490603,0.258,0.111,3.15991949756178e-121,"hNeuron","S100B"
"736","COTL1.3",0,1.39246352156279,0.82,0.474,0,"hNeuron","COTL1"
