"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PAXX",1.98979928449765e-08,0.685514248627137,0.709,0.458,0.00051279117360789,"hNC","PAXX"
"SLC7A5",2.00837368725906e-08,0.37072671203551,0.152,0.035,0.000517577982943533,"hNC","SLC7A5"
"SH3GLB2",2.14847224198082e-08,0.603385250264447,0.405,0.16,0.000553682781480876,"hNC","SH3GLB2"
"DUSP1.2",2.28127469319536e-08,0.74851668449783,0.519,0.269,0.000587907301183375,"hNC","DUSP1"
"CDH11.7",2.35228711197639e-08,-0.856907626710128,0.101,0.425,0.000606207911627436,"hNC","CDH11"
"EMILIN1.4",2.35651738099658e-08,-0.649545242891777,0.051,0.367,0.000607298094256628,"hNC","EMILIN1"
"TIMP1.5",2.41696173339046e-08,-0.635542896187839,0.367,0.67,0.000622875208312054,"hNC","TIMP1"
"VMP1.1",2.59352279849068e-08,0.546655379170064,0.519,0.259,0.000668376760399033,"hNC","VMP1"
"CXCL12.6",3.19114524590241e-08,-1.19988977694312,0.051,0.35,0.00082239004132151,"hNC","CXCL12"
"PPP1R15A.1",3.67657950592262e-08,0.484973405526034,0.468,0.215,0.000947491304471318,"hNC","PPP1R15A"
"YBX3.2",4.02646945686189e-08,0.48222152257175,0.633,0.364,0.00103766144372788,"hNC","YBX3"
"PDLIM4.4",4.06348921410324e-08,0.499506954531768,0.734,0.46,0.00104720180536655,"hNC","PDLIM4"
"RBMX.2",4.23083333657552e-08,-0.665382182332097,0.658,0.82,0.00109032805916888,"hNC","RBMX"
"PLK2.1",4.35004993184569e-08,0.368506777073299,0.304,0.11,0.00112105136793595,"hNC","PLK2"
"LMCD1.5",4.66429209463903e-08,-0.699087532145358,0.025,0.317,0.00120203471570942,"hNC","LMCD1"
"TLE1.4",4.78775294379029e-08,-0.791604246059863,0.152,0.465,0.0012338518111442,"hNC","TLE1"
"JPT1.6",4.90695499741135e-08,-0.955949661416983,0.57,0.755,0.00126457137238288,"hNC","JPT1"
"RARB",4.98396566247491e-08,0.280679922588861,0.228,0.069,0.00128441779087641,"hNC","RARB"
"DDR2.5",5.67292246988573e-08,-0.67857524885117,0.076,0.372,0.00146196884971425,"hNC","DDR2"
"PHGDH.4",5.68118284002558e-08,0.641175344060221,0.747,0.604,0.00146409762970299,"hNC","PHGDH"
"H2AFZ.5",5.69845715213608e-08,-0.910804420945028,0.924,0.948,0.00146854939267699,"hNC","H2AFZ"
"FBLN1.5",5.93655164163756e-08,-0.73620056499867,0.506,0.704,0.00152990872356642,"hNC","FBLN1"
"NXPH2",6.57536345638761e-08,0.269592753493875,0.152,0.037,0.00169453691634565,"hNC","NXPH2"
"EBF3.6",6.98935896362221e-08,-0.79174784249344,0.013,0.291,0.00180122769851508,"hNC","EBF3"
"COL6A3.7",7.14830186179626e-08,-0.837406740828151,0.063,0.361,0.00184218887280351,"hNC","COL6A3"
"CITED4.2",8.10302981851632e-08,0.360790945736108,0.215,0.065,0.00208823181452984,"hNC","CITED4"
"ERICH1.1",8.65396040363589e-08,0.389920473298302,0.38,0.156,0.00223021213562101,"hNC","ERICH1"
"COL1A2.7",9.02041130052983e-08,-1.13633583915814,0.747,0.803,0.00232465019625954,"hNC","COL1A2"
"GLIPR2.3",9.393665770436e-08,-0.680753005581043,0.038,0.323,0.00242084160569906,"hNC","GLIPR2"
"ELF1.2",9.96612148051048e-08,0.284037345172614,0.241,0.078,0.00256836916674236,"hNC","ELF1"
"SEMA3C.4",1.09228662351746e-07,0.985390527498209,0.354,0.151,0.00281493185746685,"hNC","SEMA3C"
"ZEB1.2",1.10309379890367e-07,-0.641006983922206,0.013,0.284,0.00284278302915465,"hNC","ZEB1"
"ARAP1.1",1.11938688793625e-07,0.281423576236509,0.19,0.055,0.0028847719489005,"hNC","ARAP1"
"HNRNPA1.4",1.1413995970572e-07,-0.311120560650549,1,0.994,0.00294150090157611,"hNC","HNRNPA1"
"RPL34.3",1.15711706225355e-07,0.252952457881105,1,0.998,0.00298200638113362,"hNC","RPL34"
"RNASEH2C.1",1.18883744804522e-07,-0.666347226290685,0.329,0.603,0.00306375298735734,"hNC","RNASEH2C"
"MECOM.4",1.26020649962181e-07,-0.775985831569229,0.013,0.283,0.00324767817017536,"hNC","MECOM"
"EZH2.4",1.33548357972496e-07,-0.703203008234436,0.127,0.422,0.00344167473330918,"hNC","EZH2"
"RFLNA.5",1.37707580632902e-07,-0.807632449716487,0.101,0.378,0.00354886206049053,"hNC","RFLNA"
"SCCPDH.1",1.49689754046296e-07,-0.598657309168555,0.051,0.329,0.00385765465152708,"hNC","SCCPDH"
"HNRNPAB.2",1.5497894002328e-07,-0.719340087463834,0.43,0.653,0.00399396226333996,"hNC","HNRNPAB"
"CCN1.3",1.55264904519629e-07,0.708956627408581,0.734,0.505,0.00400133185437537,"hNC","CCN1"
"POLR2L.3",1.75555832573496e-07,0.472948614279717,0.962,0.863,0.00452424936125155,"hNC","POLR2L"
"ANXA6.3",1.79030598903578e-07,-0.644516678361156,0.101,0.388,0.0046137975643441,"hNC","ANXA6"
"NKX3-2.6",1.83560562493032e-07,-0.934621589372354,0.038,0.303,0.00473053925600793,"hNC","NKX3-2"
"RGL2.2",1.83972623390858e-07,0.479012436338786,0.329,0.131,0.0047411584774058,"hNC","RGL2"
"PXMP2.2",1.8543968552523e-07,-0.729140258547787,0.165,0.445,0.00477896613567071,"hNC","PXMP2"
"H3F3A.2",1.89742865729237e-07,-0.254497886555175,0.987,0.997,0.00488986339270816,"hNC","H3F3A"
"QKI.1",1.94483322129268e-07,-0.737749749163188,0.38,0.59,0.00501202969459336,"hNC","QKI"
"FGFR2.6",2.05118767980051e-07,0.429063361858288,0.443,0.202,0.0052861157696139,"hNC","FGFR2"
"RPS28.1",2.0991146120727e-07,0.275638095648065,1,0.998,0.00540962826677255,"hNC","RPS28"
"EBF2.7",2.10467712467817e-07,-0.845070126092149,0,0.26,0.00542396341800811,"hNC","EBF2"
"SLC38A1.2",2.23261197298749e-07,0.455955673305429,0.494,0.246,0.00575366431558606,"hNC","SLC38A1"
"DUSP14",2.23283802508963e-07,0.457312260568454,0.266,0.095,0.00575424687445849,"hNC","DUSP14"
"CPXM1.3",2.31620750312453e-07,-0.670512751404335,0.139,0.425,0.00596909835630224,"hNC","CPXM1"
"KIF13A",2.43444109951756e-07,0.326295057551485,0.253,0.088,0.00627379815756671,"hNC","KIF13A"
"TMPO.4",2.58318059374133e-07,-0.803176728653988,0.418,0.609,0.00665711470813079,"hNC","TMPO"
"SOX5.6",3.12930385488593e-07,-0.804448232172656,0.063,0.328,0.00806452896442654,"hNC","SOX5"
"LGALS3",3.16560040093553e-07,0.519499928542955,0.165,0.046,0.00815806879325095,"hNC","LGALS3"
"TP53TG1",3.19515763953991e-07,0.468599128919348,0.494,0.241,0.00823424075285829,"hNC","TP53TG1"
"MIB2",3.19522002866729e-07,0.353878456810903,0.329,0.13,0.00823440153587847,"hNC","MIB2"
"CSRP1.2",3.30830916175685e-07,0.377938908462298,0.392,0.174,0.00852584354076357,"hNC","CSRP1"
"FNDC3B.1",3.39949346485152e-07,0.551494718959824,0.392,0.178,0.00876083460826886,"hNC","FNDC3B"
"IQCA1",3.55989496366465e-07,0.297596614801428,0.278,0.101,0.00917420531086018,"hNC","IQCA1"
"FLRT3.5",3.56909857174871e-07,0.678597980117015,0.608,0.368,0.0091979239292536,"hNC","FLRT3"
"SLC25A4.2",3.62068210876035e-07,0.309282809614858,0.418,0.181,0.0093308598624863,"hNC","SLC25A4"
"MAP1B.5",3.74113929851296e-07,-1.05983240378997,0.228,0.511,0.00964129008619775,"hNC","MAP1B"
"RPS8.3",3.94064643191755e-07,0.256492111065402,1,0.998,0.0101554399196947,"hNC","RPS8"
"RPL11.2",3.94808361108874e-07,0.252618362645229,1,0.999,0.0101746062741368,"hNC","RPL11"
"CPNE8",3.96345027831616e-07,0.284535920416433,0.114,0.025,0.0102142077122486,"hNC","CPNE8"
"BTG2.1",4.11346606621064e-07,0.369786902556494,0.266,0.096,0.0106008133992314,"hNC","BTG2"
"CREB5.5",4.2441200278205e-07,-0.770484034583409,0,0.25,0.0109375217236962,"hNC","CREB5"
"RBPMS.3",4.67664839181382e-07,0.676120860124197,0.38,0.175,0.0120521905705434,"hNC","RBPMS"
"ZNRF3",4.73494253991233e-07,0.47236110298999,0.177,0.052,0.0122024204196081,"hNC","ZNRF3"
"COL9A3.6",4.95686059712634e-07,-0.687094775093005,0.203,0.504,0.0127743254448543,"hNC","COL9A3"
"ASAH1.1",5.09049455537592e-07,0.436407972897834,0.57,0.302,0.0131187135186593,"hNC","ASAH1"
"GMDS.5",5.19938443996897e-07,-1.04557829263127,0.215,0.462,0.013399333640244,"hNC","GMDS"
"BIN1.4",5.2605307782876e-07,-0.663963017146776,0.063,0.322,0.013556913868725,"hNC","BIN1"
"CRABP2.5",5.39973951787659e-07,0.466885825790792,0.62,0.374,0.0139156687115198,"hNC","CRABP2"
"MPPED2.5",5.8125988607311e-07,-0.762033013282384,0.089,0.347,0.0149796485239901,"hNC","MPPED2"
"NDUFS5.4",6.11365839925787e-07,0.358613610732294,0.949,0.923,0.0157555090607275,"hNC","NDUFS5"
"SLC2A1.1",6.66006129015774e-07,0.315017687671026,0.241,0.084,0.0171636439508655,"hNC","SLC2A1"
"IGSF9",6.71350874578849e-07,0.254400865653193,0.165,0.046,0.0173013833887715,"hNC","IGSF9"
"TCF15.5",6.86515545132837e-07,-0.692682368042302,0.013,0.258,0.0176921921136183,"hNC","TCF15"
"MDFI.4",6.87179882342741e-07,-0.649583217289918,0.557,0.715,0.0177093127478548,"hNC","MDFI"
