"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"56","COL1A1",1.00125227646131e-147,1.04141012859922,0.773,0.237,1.51319256541598e-143,1,"COL1A1"
"57","FN1",1.715618466192e-143,0.959190253259032,0.747,0.26,2.59281418795597e-139,1,"FN1"
"58","ZFP36L1",1.37104790703251e-114,0.916781092616595,0.848,0.478,2.07206470189824e-110,1,"ZFP36L1"
"59","COL3A1",1.72049213263562e-60,0.776338743683896,0.806,0.557,2.60017976005222e-56,1,"COL3A1"
"60","TNC",1.28689799739437e-151,0.757000032778892,0.455,0.038,1.94488894346211e-147,1,"TNC"
"61","COL6A2",6.04952162151086e-82,0.739757517237628,0.814,0.494,9.14264202658936e-78,1,"COL6A2"
"62","MMP11",1.57204028507197e-109,0.685645672905901,0.428,0.066,2.37582448282926e-105,1,"MMP11"
"63","TGFB3",4.7099837819057e-120,0.684446271557048,0.489,0.087,7.11819848959409e-116,1,"TGFB3"
"64","CHRD",2.85072286092823e-136,0.683800138524742,0.49,0.069,4.30829745972084e-132,1,"CHRD"
"65","CDH2",5.20957256164447e-91,0.63518606791069,0.523,0.149,7.87322701241329e-87,1,"CDH2"
"66","CREB5",2.10655383920725e-113,0.622352887318001,0.527,0.113,3.18363481719391e-109,1,"CREB5"
"67","COL18A1",1.53152936020609e-79,0.607678607349312,0.504,0.157,2.31460032207947e-75,1,"COL18A1"
"68","SCD5",1.23633518828457e-110,0.589056201992839,0.464,0.083,1.86847337005447e-106,1,"SCD5"
"69","COL6A1",9.65761582592877e-62,0.561166314021427,0.646,0.335,1.45955547977262e-57,1,"COL6A1"
"70","H19",1.29540132977321e-41,0.55039882588413,0.549,0.298,1.95774002968626e-37,1,"H19"
"71","LRIG3",8.21943753653653e-59,0.541698754037375,0.623,0.313,1.24220359489677e-54,1,"LRIG3"
"72","RGMB",3.04144699411339e-77,0.523798091981706,0.497,0.153,4.59653884220357e-73,1,"RGMB"
"73","GPC1",2.9638264217151e-63,0.523247291290286,0.497,0.184,4.47923087113803e-59,1,"GPC1"
"74","SOX4",5.70493328524245e-48,0.518673143362212,0.958,0.848,8.62186567398691e-44,1,"SOX4"
"75","TGFBI",1.03241516205536e-88,0.50445533013657,0.413,0.082,1.56028903441426e-84,1,"TGFBI"
"76","LRIG1",7.1993179577593e-51,0.495333481185011,0.695,0.401,1.08803292295616e-46,1,"LRIG1"
"77","SULF2",2.15685082074688e-45,0.465831819119097,0.675,0.388,3.25964864539476e-41,1,"SULF2"
"78","CCND2",1.91729192454656e-39,0.459250470095867,0.846,0.64,2.89760328556721e-35,1,"CCND2"
