"","x"
"1","TBXT"
"2","KRT19"
"3","SHH"
"4","SAMD3"
"5","ALCAM"
"6","BMP3"
"7","FOXA1"
"8","SMOC1"
"9","CLU"
"10","UCHL1"
"11","ETS2"
"12","HES1"
"13","SLIT2"
"14","TIMP3"
"15","RHOB"
"16","IRS1"
"17","TXNIP"
"18","EFEMP2"
"19","TSPAN7"
"20","SOX9"
"21","COL11A1"
"22","COL9A3"
"23","SOX5"
"24","COL9A2"
"25","TGFBI"
