"","x"
"1","CDH1"
"2","SIX1"
"3","MMP15"
"4","TGM2"
"5","IGFBP2"
"6","SEMA5A"
"7","PIK3C2B"
"8","IGFBP5"
"9","DPYSL2"
"10","ACVR2B"
"11","COL27A1"
"12","HTRA1"
"13","EPYC"
"14","VIM"
